date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-02-26,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-01,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-02,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-03,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-04,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-05,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-08,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-09,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-10,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-11,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-12,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-15,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-16,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-17,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-18,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-19,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-22,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-23,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-24,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-25,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-26,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-29,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-30,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-03-31,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-01,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-02,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-06,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-07,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-08,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-09,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-12,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
2010-04-13,sh.600556,4.09,4.09,4.09,4.09,0,0.0,3,,0,0.0,-1.808844,-1.70935,81.757166,17.349618,1,4.09,4.090000000000001,4.090000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0
